Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,1899500,,,,282366,,7190044,,,0
H4,2016,2016,2016,6,1,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,100,,,,16,,1905,,,0
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,19973148,,13814434,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,5400404,,64968355,,,0
H4,2016,2016,2016,6,1,1,Import,364,Iran,IRN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,44812,,289984,,,2
H4,2016,2016,2016,6,1,2,Export,364,Iran,IRN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,78479,,168532,,,2
H4,2016,2016,2016,6,1,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,4188965,,32279863,,,2
H4,2016,2016,2016,6,1,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,298436,,2563786,,,6
H4,2016,2016,2016,6,1,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,360600,,,,2456197,,32094000,,,4
H4,2016,2016,2016,6,1,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,1441,,35000,,,4
